File Type,Rigid Body Asset
Version,1
Name,ZF MC
ID,5755254309598269932
Color,255,106,0
Units,mm
Point,Point 1,-39.805199,-55.402000,5.827910,None
Point,Point 2,-13.488900,27.585899,-61.928902,None
Point,Point 3,53.294102,27.816099,56.101002,None
